Title,Collection,MediaType,PhysicalFormat,Generations,DateofOriginalWork,Description
"Marge Storm - 1, 2, 3",SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
Alice Person - 1 of 5 - 1987 - Copy - Non TC - 1206U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987,
Alice Person - 1 of 5 - 1987 - Copy - Non TC - 1206U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987,
Alice Person - 1 of 5 - 1987 - Copy - Non TC - 1206U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Dub,1987,
Alice Person - 2 of 5 - 1987 - Copy - Non TC - 1207U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987,
Alice Person - 2 of 5 - 1987 - Copy - Non TC - 1207U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987,
Alice Person - 2 of 5 - 1987 - Copy - Non TC - 1207U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,1987,
Alice Person - 3 of 5 - 1987 - Copy - Non TC - 1208U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987,
Alice Person - 3 of 5 - 1987 - Copy - Non TC - 1208U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987,
Alice Person - 3 of 5 - 1987 - Copy - Non TC - 1208U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,1987,
Alice Person - 4 of 5 - 1987 - Copy - Non TC - 1209U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987,
Alice Person - 4 of 5 - 1987 - Copy - Non TC - 1209U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987,
Alice Person - 4 of 5 - 1987 - Copy - Non TC - 1209U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,1987,
Alice Person - 5 of 5 - 1987 - Copy - Non TC - 1210U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987,
Alice Person - 5 of 5 - 1987 - Copy - Non TC - 1210U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987,
Alice Person - 5 of 5 - 1987 - Copy - Non TC - 1210U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,1987,
Copy - M2 - Tape #1 - Group Interview - Duncan - S. Diamond,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
M3 - Tape 1 - Group Interview - Duncan,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Copy - Duncan - Group Interview - M2 - Tape #2,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Vancouver Island - M3 - Tape #2 - Group Interview,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
M3 - Tape #3 - Group Interview,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Vancouver Island - M3 - Tape #4 - Group Interview,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Lake Cowichan (Duncan) - M3 - Tape #4 - Group Interview,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Vancouver Island - Lk. Cowichan - Group Interview - M3 - Tape #5,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Vancouver Island - Lk. Cowichan - Group Inter. - M3 - Tape 6 - Sept. 1988,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,1988-09,
Copy - Lake Cowichan - M3 - Tape 6 - Group Interview,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Copy - Lk. Cowichan - Group Interview - M2 - Tape #7 - Sept. 29/88,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,1988-09-29,
Lk. Cowichan - Grp Interview - M3 - Tape #7,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Lake Cowichan - Nirmal Shahi - Part 2 - Tape #8 - Copy - + Group Interview,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Dalscog 1,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Dalscog 1,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Dalscog 1,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marge Dalskog #2,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Marge Dalskog #2,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Marge Dalskog #2,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marg Dalscog #3,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Marg Dalscog #3,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Marg Dalscog #3,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marge Dalskog #4,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Marge Dalskog #4,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Marge Dalskog #4,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marge Dalskog #4 - Copy,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Dalskog #5,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Dalskog #5,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Dalskog #5,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
[Unlabelled],SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
May Martin - Tape 1 - Dub,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Dub,1987-09-17,
May Martin #2 - Dub,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Dub,1987-09-17,
May Martin - Sept. 17/87 - #3 - Dub,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Dub,1987-09-17,
May Martin - Tape #4 - WLHP,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,1987-09-17,
May Martin - Sept. 17/87 - WLHP - Dub #5,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Dub,1987-09-17,
Nancy Buker - 1 - Worktape - Non TC - Copy - 1253U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,1987,
Nancy Buker - 2 - Worktape - Non TC - Copy - 1254U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,1987,
Nancy Buker - 3 - Worktape - Non TC - Copy - 1255U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
Nancy Buker - 4 - Worktape - Non TC - Copy - 1256U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
Tape 1 - Radio Ads - Orig. - Non TC - Nov 1/87 - Sunday Studio Shoot,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,1987-11-01,
Marge Dalscog - Copy 1 2 3,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
Jo : A Roll - B+W - R. Cut,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Rough cut,,
Sync - 'B Roll' - Josephine Charlie,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Audio Materials - Josephine - (2 channels),SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Ruth Bullock #2,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Ruth Bullock #3 - Copy - Non T.C. - 1230U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Ruth Bullock - #4 - Copy - Non T.C. - 1231U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Nutall 1,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Emily Nuttall - 2 - Worktape - Non TC - Copy - 1220U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
Emily Nuttall - 3 - Worktape - Non TC - Copy - 1221U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
Emily Nuttall - 4 - Worktape - Non TC - Copy - 1222U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
E. Nuttall - Tape #4 - Copy - T.C. - 1222B,SD_01_02,Moving Image,Betacam,Copy,,
Emily Nuttall - Tape 4 - Copy - T.C.,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Copy,,
Emily Nuttall - 5 - Worktape - Non TC - 1223U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
DUB #1 - Depression Narration in Studio - Dec/87,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Dub,1987-12,
Narration Depression - Dub #2 - Non T.C. - 1425U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Dub,,
Dub Tape #4 - Depression Narrative - Studio Dec/87 - TC - Copy - 1422U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,1987-12,
Bill C-54 - 3,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Bill C-54 - 4,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,1988-02-28,
A-Roll - 8 Red Minutes - Sync - 1400U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
"Marge Dalscog - Tapes 1, 2, 3 - Orig. - 722B - T.C.",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Marge Dalscog - Tapes 1, 2, 3 - Orig. - 722B - T.C.",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Marge Dalscog - Tapes 1, 2, 3 - Orig. - 722B - T.C.",SD_01_02,Moving Image,Betacam,Original,,
"Tapes 1, 2, 3 - Group Int. Duncan - 1st Gen. - M3 - 751B - T.C.",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 1, 2, 3 - Group Int. Duncan - 1st Gen. - M3 - 751B - T.C.",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 1, 2, 3 - Group Int. Duncan - 1st Gen. - M3 - 751B - T.C.",SD_01_02,Moving Image,Betacam,Submaster,,
"Tapes 4, 5, 6 - Group Int. Duncan - 1st Gen. - M3 - 752B - T.C.",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 4, 5, 6 - Group Int. Duncan - 1st Gen. - M3 - 752B - T.C.",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 4, 5, 6 - Group Int. Duncan - 1st Gen. - M3 - 752B - T.C.",SD_01_02,Moving Image,Betacam,Submaster,,
Tape 7 - Group Int. Duncan - 1st Gen. - M3 - T.C. - 756B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Tape 7 - Group Int. Duncan - 1st Gen. - M3 - T.C. - 756B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Tape 7 - Group Int. Duncan - 1st Gen. - M3 - T.C. - 756B,SD_01_02,Moving Image,Betacam,Submaster,,
"Tapes 1, 2, 3 - Lake Cowichan Group Int. - M2 - 1st Gen. - TC - 754B",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 1, 2, 3 - Lake Cowichan Group Int. - M2 - 1st Gen. - TC - 754B",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 1, 2, 3 - Lake Cowichan Group Int. - M2 - 1st Gen. - TC - 754B",SD_01_02,Moving Image,Betacam,Submaster,,
"Tapes 4, 5, 6 - Lake Cowichan Group Int. - M2 - 1st Gen. - TC - 755B",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 4, 5, 6 - Lake Cowichan Group Int. - M2 - 1st Gen. - TC - 755B",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 4, 5, 6 - Lake Cowichan Group Int. - M2 - 1st Gen. - TC - 755B",SD_01_02,Moving Image,Betacam,Submaster,,
"Tapes 7, 8 - Lk. Cowichan Group - M2 - TC - 753B",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 7, 8 - Lk. Cowichan Group - M2 - TC - 753B",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 7, 8 - Lk. Cowichan Group - M2 - TC - 753B",SD_01_02,Moving Image,Betacam,,,
"Marge Storm - Tapes 1, 2, 3 - Orig. - T.C. - 760B",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Marge Storm - Tapes 1, 2, 3 - Orig. - T.C. - 760B",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Marge Storm - Tapes 1, 2, 3 - Orig. - T.C. - 760B",SD_01_02,Moving Image,Betacam,Original,,
Lull - Work Tape and Edit Master - 829B,SD_01_02,Moving Image,Betacam,Work tapes,,
East Indian Women Photos - Nirmal - 1990 - 2nd Gen. - NON TC - 794B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 1 - Stills - 2nd Gen - TC - 797B1,SD_01_02,Moving Image,Betacam,Copy,,
i Lull BTS - ii Mona Morgan Tape 11 - Orig. - TC - 759Bi,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-05,
i Lull BTS - ii Mona Morgan Tape 11 - Orig. - TC - 759Bi,SD_01_02,Moving Image,Betacam,Original,1989-05,
LBTS - Tape 3 - Stills - 2nd Gen. - T.C. - 798B,SD_01_02,Moving Image,Betacam,Copy,,
Betty Griffin - Tape 1 - Orig. - NON TC - 1200U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Betty Griffin - Tape 1 - Orig. - NON TC - 1200U,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Betty Griffin - Tape 1 - Orig. - NON TC - 1200U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,,
Betty Griffin - Tape 2 - Orig. - NON TC - 1201U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Betty Griffin - Tape 2 - Orig. - NON TC - 1201U,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Betty Griffin - Tape 2 - Orig. - NON TC - 1201U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,,
Gladys Hilland - 1 - Orig. - NON TC - Sept. 14/87 - 1257U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-09-14,
Gladys Hilland - 1 - Orig. - NON TC - Sept. 14/87 - 1257U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-09-14,
Gladys Hilland - 1 - Orig. - NON TC - Sept. 14/87 - 1257U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,1987-09-14,
Gladys Hilland - 3 - Orig. - NON T.C. - Sept. 14/87 - 1259U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-09-14,
Gladys Hilland - 3 - Orig. - NON T.C. - Sept. 14/87 - 1259U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-09-14,
Gladys Hilland - 3 - Orig. - NON T.C. - Sept. 14/87 - 1259U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,1987-09-14,
Gladys Hilland - 4 - Orig. - NON T.C. - 1260U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-09-14,
Gladys Hilland - 4 - Orig. - NON T.C. - 1260U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-09-14,
Gladys Hilland - 4 - Orig. - NON T.C. - 1260U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,1987-09-14,
Gladys Hilland - 5 - Orig. - NON T.C. - 1261U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-09-14,
Gladys Hilland - 5 - Orig. - NON T.C. - 1261U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-09-14,
Gladys Hilland - 5 - Orig. - NON T.C. - 1261U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,1987-09-14,
Johnnie Rankin - Tape 2 - Aug. 31-87 - 1st Gen. - NON TC - 1233U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-08-31,
Johnnie Rankin - Tape 2 - Aug. 31-87 - 1st Gen. - NON TC - 1233U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-08-31,
Johnnie Rankin - Tape 2 - Aug. 31-87 - 1st Gen. - NON TC - 1233U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Submaster,1987-08-31,
Johnnie Rankin - Tape 3 - Aug. 31-87 - Original - NON TC - 1233Ui,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Johnnie Rankin - Tape 3 - Aug. 31-87 - Original - NON TC - 1233Ui,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Johnnie Rankin - Tape 3 - Aug. 31-87 - Original - NON TC - 1233Ui,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,,
Emily Nuttall - Tape #1 - Master - T.O. - July 87 - 1219U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-07,
Emily Nuttall - Tape #1 - Master - T.O. - July 87 - 1219U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-07,
Emily Nuttall - Tape #1 - Master - T.O. - July 87 - 1219U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Master,1987-07,
Emily Nuttall - Tape #2 - Master - T.O. - 1220U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Emily Nuttall - Tape #2 - Master - T.O. - 1220U,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Emily Nuttall - Tape #2 - Master - T.O. - 1220U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Master,,
Emily Nuttall - Master - T.O. - #3 - 1221U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Emily Nuttall - Master - T.O. - #3 - 1221U,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Emily Nuttall - Master - T.O. - #3 - 1221U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Master,,
Emily Nuttall - Tape 4 - Master - T.C. - 1222B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Emily Nuttall - Tape 4 - Master - T.C. - 1222B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Emily Nuttall - Tape 4 - Master - T.C. - 1222B,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Master,,
Ruth Bullock - Tape 4 - Orig. - Non TC - 1231U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Ruth Bullock - Tape 4 - Orig. - Non TC - 1231U,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Ruth Bullock - Tape 4 - Orig. - Non TC - 1231U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Original,,
12000 - Lil and June - 1st Gen. - NON TC - 700B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09-06,
12000 - Lil and June - 1st Gen. - NON TC - 700B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09-06,
12000 - Lil and June - 1st Gen. - NON TC - 700B,SD_01_02,Moving Image,Betacam,Submaster,1989-09-06,
13000 - Lil and June - 1st Gen. - NON TC - 701B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09,
13000 - Lil and June - 1st Gen. - NON TC - 701B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09,
13000 - Lil and June - 1st Gen. - NON TC - 701B,SD_01_02,Moving Image,Betacam,Submaster,1989-09,
14000 - Lil and June - 1st Gen. - NON TC - 702B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09,
14000 - Lil and June - 1st Gen. - NON TC - 702B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09,
14000 - Lil and June - 1st Gen. - NON TC - 702B,SD_01_02,Moving Image,Betacam,Submaster,1989-09,
15000 - Lil and June - 1st Gen. - NON TC - 703B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09,
15000 - Lil and June - 1st Gen. - NON TC - 703B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09,
15000 - Lil and June - 1st Gen. - NON TC - 703B,SD_01_02,Moving Image,Betacam,Submaster,1989-09,
16000 - Lil and June - 1st Gen. - NON TC - 704B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09,
16000 - Lil and June - 1st Gen. - NON TC - 704B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09,
16000 - Lil and June - 1st Gen. - NON TC - 704B,SD_01_02,Moving Image,Betacam,Submaster,1989-09,
17000 - Lil and June - 1st Gen. - NON TC - 705B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09,
17000 - Lil and June - 1st Gen. - NON TC - 705B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09,
17000 - Lil and June - 1st Gen. - NON TC - 705B,SD_01_02,Moving Image,Betacam,Submaster,1989-09,
18000 - Lil and June - 1st Gen. - NON TC - 706B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09,
18000 - Lil and June - 1st Gen. - NON TC - 706B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09,
18000 - Lil and June - 1st Gen. - NON TC - 706B,SD_01_02,Moving Image,Betacam,Submaster,1989-09,
00:40 - Lil Godfrey - 1st Gen. - NON TC - 707B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
00:40 - Lil Godfrey - 1st Gen. - NON TC - 707B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
00:40 - Lil Godfrey - 1st Gen. - NON TC - 707B,SD_01_02,Moving Image,Betacam,Submaster,,
"Tapes 1, 2, 3 - Mrs. Dley - M3 - 1st Gen. - NON TC - 748B",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 1, 2, 3 - Mrs. Dley - M3 - 1st Gen. - NON TC - 748B",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 1, 2, 3 - Mrs. Dley - M3 - 1st Gen. - NON TC - 748B",SD_01_02,Moving Image,Betacam,Submaster,,
"Tapes 4, 5, 6 - Mrs. Dley - M3 - 1st Gen. NON TC - 749B",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 4, 5, 6 - Mrs. Dley - M3 - 1st Gen. NON TC - 749B",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 4, 5, 6 - Mrs. Dley - M3 - 1st Gen. NON TC - 749B",SD_01_02,Moving Image,Betacam,Submaster,,
"Tapes 7, 8, 9 - Mrs. Dley - M# - 1st Gen. NON T.C. - 750B",SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
"Tapes 7, 8, 9 - Mrs. Dley - M# - 1st Gen. NON T.C. - 750B",SD_01_02,Moving Image,Hard Drive,Copy: access,,
"Tapes 7, 8, 9 - Mrs. Dley - M# - 1st Gen. NON T.C. - 750B",SD_01_02,Moving Image,Betacam,Submaster,,
"Lull Soundtrack - India Song - ""The Ballad of Little India"" - Paul Gregory 1990",SD_01_02,Moving Image,Betacam,,,
Of Mines and Men - 1st Gen. - NON TC - 409B,SD_01_02,Moving Image,Betacam,Submaster,,
i Not Legible - ii West Coast Van Isle Fish'g - iii Van. Isle Work Camps - iv Van Isle Relief Camps - 1st Gen. - NON TC - 414B,SD_01_02,Moving Image,Betacam,Submaster,,
"i Strawberry Growing - ii Vancouver Isle., Keating BC - 2nd Gen. - NON TC - 416B",SD_01_02,Moving Image,Betacam,Copy,,
i Pic's from the 30's - 1st Gen. - 424B,SD_01_02,Moving Image,Betacam,,1991-09-13,
A Friend at the Door - 2nd Gen. - NON TC - 425B,SD_01_02,Moving Image,Betacam,Copy,,
Pemberton Valley (Pt 1 of 3) - 1st Gen. - NON TC,SD_01_02,Moving Image,Betacam,Submaster,,
i Pemberton Valley (Pt 3 of 3) - ii Pulse of a City - 1st Gen. - NON TC - 428B,SD_01_02,Moving Image,Betacam,Submaster,,
B.C. Forest Museum - 10:40 - Orig. - NON T.C. - 438Bi,SD_01_02,Moving Image,Betacam,Original,,
B.C. Forest Museum - 11:40 - Orig. - NON T.C. - 438Bii,SD_01_02,Moving Image,Betacam,Original,,
Peas-Fraser Valley - BC Prov. Archives - 2nd Gen. - NON TC - 441B,SD_01_02,Moving Image,Betacam,Copy,,
i Residue 2 - ii Lady from Shanghai - iii May Day Parade - iv Bats out of Hell - 1st Gen. - NON TC - 442B,SD_01_02,Moving Image,Betacam,Submaster,,
Sal the Dream Gal - BCPA (Pt 1 of 2) - 2nd Gen. - NON TC - 443B,SD_01_02,Moving Image,Betacam,Copy,,
Sal the Dream Gal - BCPA (Pt 2 of 2) - 2nd Gen. - NON TC - 444B,SD_01_02,Moving Image,Betacam,Copy,,
On the Spot - BC Prov Archives - 1st Gen - NON TC - 447B,SD_01_02,Moving Image,Betacam,Submaster,,
Sumas - BC Prov Archives - 2nd Gen - 448B,SD_01_02,Moving Image,Betacam,Copy,,
Your Own Operation - BC Prov Archives - 2nd Gen. - NON TC - 450B,SD_01_02,Moving Image,Betacam,Copy,,
CDN. Army #104 - 2nd Gen. - NON TC - 453B,SD_01_02,Moving Image,Betacam,Copy,,
i Lake Cowichan - June Olsen - ii Sept. '89 - 2nd Gen. - NON TC - 455B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-09,
i Lake Cowichan - June Olsen - ii Sept. '89 - 2nd Gen. - NON TC - 455B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-09,
i Lake Cowichan - June Olsen - ii Sept. '89 - 2nd Gen. - NON TC - 455B,SD_01_02,Moving Image,Betacam,Copy,1989-09,
Lake Cowichan Area - 2nd Gen. - 465B - NON TC - 456B,SD_01_02,Moving Image,Betacam,Copy,,
Lake Cowichan - Exteriors Pt 1 of 3 - 2nd Gen. - NON TC - 457B,SD_01_02,Moving Image,Betacam,Copy,,
Lake Cowichan Exterior #2 of 3 - 2nd Gen. - NON T.C. - i458B,SD_01_02,Moving Image,Betacam,Copy,,
Lake Cowichan - Forest Museum - 2nd Gen. - NON TC - 460B,SD_01_02,Moving Image,Betacam,Copy,,
i Ornamental Swimming - May Day and Scenes at Salmon Arm 1&2 - 1st Gen. - NON TC - 480B,SD_01_02,Moving Image,Betacam,Submaster,,
Spruce News Reel Story - 1st Gen. - NON TC - 485B,SD_01_02,Moving Image,Betacam,Submaster,,
The Sweet and the Bitter - Pt. 1 of 3 - i486B,SD_01_02,Moving Image,Betacam,,,
29/92 - Women's Labour History Project - Length: 17:20 - June 24/92,SD_01_02,Moving Image,VHS,,1992-06-24,
29/92 - Women's Labour History Project - Length: 17:20 - June 24/92,SD_01_02,Moving Image,VHS,,1992-06-24,
Keeping The Home Fires Burning - Women and the Work in British Columbia - Written and Directed by Sara Diamond - Women's Labour History Project - 1988 - Duration 29min,SD_01_02,Moving Image,VHS,,,
Lull Before the Storm (The Forties) - Part One - Duration 48:05 mins - NTSC,SD_01_02,Moving Image,VHS,,,
The Lull Before the Storm - Written and Directed by Sara Diamond,SD_01_02,Moving Image,VHS,,,
"Wilson, Liz - 3626-1",SD_01_02,Sound,1/4 inch audio cassette,Copy,,
3601-2 - Lil Stoneman,SD_01_02,Sound,1/4 inch audio cassette,,,
Tobacco Women in BC,SD_01_02,Moving Image,Betacam,,,
FTBT Our Daily Bread,SD_01_02,Moving Image,Betacam SP,Dub,,
BC Indians Pt (blank) of 2 - 1st Gen. - NON TC - 401B,SD_01_02,Moving Image,Betacam,Submaster,,
La Peste Rouge - Pt. 1 of 3 - 1st Gen. - NON T.C. - 403B,SD_01_02,Moving Image,Betacam,Submaster,,
La Peste Rouge - Pt. 2 of 3 - 1st Gen. - 404B,SD_01_02,Moving Image,Betacam,Submaster,,
La Peste Rouge - Pt. 3 of 3 - 1st Gen. - NON TC - ii Cold Facts From the Northland (Pt. 1) - 405B,SD_01_02,Moving Image,Betacam,Submaster,,
i Canada's New Deal (w/ audio) - ii The Breadwinner (w/audio) - 2nd Gen. - TC - 2nd Gen. - 407B,SD_01_02,Moving Image,Betacam,Copy,,
i A Job For You - ii Gateway to Asia - iii Hand for the Harvest - 2nd Gen. - NON TC - 408B,SD_01_02,Moving Image,Betacam,Copy,,
Charlie Gordon - 2nd Gen. - 410B,SD_01_02,Moving Image,Betacam,Copy,,
The Mapleville Story - 1st Gen. - NON TC - 411B,SD_01_02,Moving Image,Betacam,Submaster,,
Logging Morgan Lake - 1st Gen. - NON TC - 413B,SD_01_02,Moving Image,Betacam,Submaster,,
