Title,Collection,MediaType,PhysicalFormat,Generations,DateofOriginalWork,Description
Code Cobra Demo Disc,SD_03_02,,CD,Original,,"Label says ""Java Software"""
John Chapman,SD_03_02,,CD,Original,,
[Untitled],SD_03_02,,Audio cassette,Original,,
[Title not legiible],SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
Writings,SD_03_02,,,Original,,
Code Zebra Audio Files,SD_03_02,,CD,Original,,
The Transmute Collective - Intimate Transactions Preview Disc,SD_03_02,,CD,,,Software disc
Pictures Photoshop - Screen Captures,SD_03_02,,CD,Original,,
P.S.,SD_03_02,,CD,Original,2003-12-09,
extreme Velocity CD 2000,SD_03_02,,CD,,2000,Software disc
[Untitled],SD_03_02,,CD,,,London Drugs photographs on CD
36/2004/anual de arte/FAAP,SD_03_02,,CD,,2004,Subtitle: trabalhos selecionados em video
cz files,SD_03_02,,CD,Original,,
[Untitled],SD_03_02,,CD,Original,,
[Untitled],SD_03_02,,CD,Original,,
Aural Cultures,SD_03_02,,CD,Copy,,
[Untitled],SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
Concerns,SD_03_02,,,Original,,
HorizonZero,SD_03_02,,CD,Copy,2002-08 to 2004-12,"HorizonZero is a multimedia Web magazine about digital art and culture in Canada — a bilingual virtual space devoted to creativity and critical ideas in the new media canon. Now out of production, our eighteen back-issues explore an extensive range of subjects in the territory where art, science, and technology meet."
[Untitled],SD_03_02,,,Original,,
cz appu,SD_03_02,,,Original,,
8 Minute Operas,SD_03_02,,,Original,,Label says: 8 minute operas - Sugar   - Orpheus     - Je Souviens KM
[Untitled],SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
Research Telefilm - All files - cz recent,SD_03_02,,,Original,,
ISRID - Bud Wk,SD_03_02,,,Original,,
Bell NM Fund appy - Development Budget Temp,SD_03_02,,,Original,,
Budges - Event Horizon,SD_03_02,,,Original,,
Heritage - To Bores + Peter - cc To Susan Kerye,SD_03_02,,,Original,,
Bell Production bud. temp - Guggenheim - cz recent,SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
RTF Zebra - Architectures Completed,SD_03_02,,,Original,,
[Untitled],SD_03_02,,,Original,,
"The Making of Code Zebra: A Work in Progress by Sara Diamond / Oct 21, 2001 / Only the Strong Survive",SD_03_02,Moving Image,MiniDV,Original,2001-10-21,
Interview S. + Dinner,SD_03_02,Moving Image,MiniDV,Original,,
Code Zebra #127 From PAL #8 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #33 Smart Club Blackhill Studios London 2002.12.7,SD_03_02,Moving Image,MiniDV,Original,2002/12/07,
Code Zebra #36 2 / 2002.12.1,SD_03_02,Moving Image,MiniDV,Original,2002/12/01,
CZ #8 7+ M vid,SD_03_02,Moving Image,MiniDV,Original,,
Code Zebra #120 From Pal #1 26-27/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/26-27,
Code Zebra #121 From PAL #2 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #122 From PAL #3 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #123 From PAL #4 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #124 From PAL #5 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #125 From PAL #6 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #126 From PAL #7 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #128 From PAL #9 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #129 From PAL #10 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #130 From PAL #11 25-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/25-28,
Code Zebra #131 From Friday morning 26-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/26-28,
Code Zebra #132 From Friday morning 26-28/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/26-28,
CZ #5 Last N+P First 7+M 26/27/12/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/26-27,
CZ #6 7+M Enter + 1st brainstorm 27/02/03,SD_03_02,Moving Image,MiniDV,Original,2003/02/27,
CZ #7 M+7 afternoon + PM,SD_03_02,Moving Image,MiniDV,Original,,
PAL Tom & Marg (Master),SD_03_02,Moving Image,MiniDV,Original,2003 - Feb 26 - March 1,
,SD_03_02,Moving Image,MiniDV,Original,,
Mother/Daughter Conference - Tape #1,SD_04_02,Moving Image,Betamax,,,
Mother/Daughter Conference - Tape 2,SD_04_02,Moving Image,Betamax,,,
Arts Edge - Interview with Sara Diamond on the Subject of the Second Decade,SD_04_02,Moving Image,Betacam SP,,,
"Interview - Nelly, Diamela (sara) - Translated version (rh)",SD_04_02,Sound,Audio cassette,Original,,
Tape #1 Side 1/Video School  -  Renee Baert: A retrospective of Canadian Feminist Production Aug 16-17/86,SD_04_02,Sound,Audio cassette,Original,1986/08/16-17,
Tape #2 Side 1/Video School  -  Renee Baert: A retrospective of Canadian Feminist Production Aug 16-17/86,SD_04_02,Sound,Audio cassette,Original,1986/08/16/17,
#1 Albanie Morin Lecture,SD_04_02,Sound,Audio cassette,Original,,
Albanie Morin #3,SD_04_02,Sound,Audio cassette,Original,,
"Sept 7, 86 Community Use of Video Sara Diamond Tape#4 Side 1",SD_04_02,Sound,Audio cassette,Original,1986/09/07,
The Heat Is On Panel One - Discussion Nov 30 Tape 2,SD_04_02,Sound,Audio cassette,Original,,
"Saturday Nov 30, 85  ""The Heat is on"" Christine Conley Tape  1 / Pat Feindel Panel One",SD_04_02,Sound,Audio cassette,Original,1985/11/30,
Heat is On panel 2 - Joan Borsa - Nov. 30 Tape 3 /Discussion Joan Borsa,SD_04_02,Sound,Audio cassette,Original,1985/11/30,
"Nov 30, 85 Panel 2 - Tape 4 - The Heat is on - Varda Burstyn / Panel 2 Varda Burstyn - Sue Golding",SD_04_02,Sound,Audio cassette,Original,1985/11/30,
The Heat is on - Nov. 30/85 - Panel two - Sue Golding - Tape 5,SD_04_02,Sound,Audio cassette,Original,1985/11/30,
Heat is on Nov 30 Sat - Panel 2 - Tape 6 - Discussion / Dec. 01 - Panel Three - Caffyn Kelly,SD_04_02,Sound,Audio cassette,Original,1985/11/30,
The Heat is on Dec. 1 - Panel Three Lisa Stelle - Tape 8 / Panel three - Cindy Patton and Discussion,SD_04_02,Sound,Audio cassette,Original,1985/12/01,
"""The Heat is On"" Nov 30, 85 - Keynote, Diamond / Keynote Speaker, Diamond + Panel One",SD_04_02,Sound,Audio cassette,Original,1985/11/30,
Women in Film: Prod. the 1/2 hr TV Drama / Project Development / June 15/89,SD_04_02,Sound,Audio cassette,Original,1989/06/15,
Women in Film: Prod. the 1/2 hr TV Drama / Panel Presentation / June 15/90,SD_04_02,Sound,Audio cassette,Original,1989/06/15,
The Heat is On - Dec 1 - Panel Three Himani Banerji - Tape 7 / Panel Three - Lisa Steele,SD_04_02,Sound,Audio cassette,Original,1985/12/01,
"Sept 6, 86 - Comunity Use of Video / Sara Diamond - Tape #1 - Side 2",SD_04_02,Sound,Audio cassette,Original,1986/09/06,
Tape #3 Day 2 / Community Use of Video / Sara Diamond Side 1,SD_04_02,Sound,Audio cassette,Original,,
Sara Diamond - Alberta Biennial of Contemporary Art - 1996,SD_04_02,Moving Image,VHS,,,
Heroics: A Quest - Definitions - Compilation Tape,SD_02_02,Moving Image,VHS,,,
Heroics: Definitions,SD_02_02,Moving Image,VHS,,,
"Heroics: Tape One - Creativity (Installation) - Lorna Boschman, Betty Merrall, Anna Banana, Corrine Hunt, Klic Akerly",SD_02_02,Moving Image,VHS,,,
Heroics II: A Shining Example,SD_02_02,Moving Image,VHS,,,
Heroics III: Survival - Sara Diamond,SD_02_02,Moving Image,VHS,,,
Heroics IV: To Triumph Over Misfortune,SD_02_02,Moving Image,VHS,,,
Heroics Two: A Shining Example,SD_02_02,Moving Image,VHS,,,
Heroics Three: Survival,SD_02_02,Moving Image,VHS,,,
Heroics Four: To Triumph Over Misfortune,SD_02_02,Moving Image,VHS,,,
Heroics Five: A Conscious and Difficult Choice,SD_02_02,Moving Image,VHS,,,
Heroics,SD_02_02,Moving Image,Audio cassette,Original,,
The Influences of my Mother,SD_02_02,Moving Image,3/4 inch videotape: U-matic,,1982,
Rose Diamond,SD_02_02,Sound,Audio cassette,Original,,
Rose Diamond,SD_02_02,Sound,Audio cassette,Original,,
Rose Diamond,SD_02_02,Sound,Audio cassette,Original,,
Paul Wong,SD_08_02,Sound,Audio cassette,Original,1999/06/10,
The Fool of the Year - Martin Diamond,SD_08_02,Sound,Audio cassette,Original,,
Side 100 - Gay & lesbian,SD_08_02,Sound,Audio cassette,Original,,
Side one + two:  June 10/99 gay & lesb,SD_08_02,Sound,Audio cassette,Original,,
Refernce tape for Brian Arnold,SD_08_02,Sound,Audio cassette,Original,,
CRTV Marc 9/88,SD_08_02,Sound,Audio cassette,Original,1988/03/09,
Environmental Sounds,SD_08_02,Sound,Audio cassette,Original,,
[],SD_08_02,Sound,Audio cassette,Original,,
[],SD_08_02,Sound,Audio cassette,Original,,
[],SD_08_02,Sound,Audio cassette,Original,,
Heart - Dog & Butterfly,SD_08_02,Sound,Audio cassette,Original,,
[],SD_08_02,Sound,Audio cassette,Original,,
Marissa 2 - 1st B Day,SD_08_02,Moving Image,8 mm video,Original,,
Dec 18 88 - Marlowes DO NOT RECORD OVER,SD_08_02,Moving Image,8 mm video,Original,,
Maureen & Ginalee Mon/Wed,SD_08_02,Moving Image,8 mm video,Original,,
"Barb, Donnie, Michelle ",SD_08_02,Moving Image,8 mm video,Original,,
Demo,SD_08_02,Moving Image,8 mm video,Original,,
Spa Highway Ranch,SD_08_02,Moving Image,8 mm video,Original,,
Bev_Diane_Michel - Smell,SD_08_02,Moving Image,8 mm video,Original,,
WLHP - Rough Cut - 254-5210 - OTO Master 1,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Rough cut,,
On To Ottawa,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
OTO Master #4,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
Festival #5,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
[Unlabelled],SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
Tagashira,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
Worktape,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
OTO Voiceover w/ Cover #1,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
Dub Assembly With Some A/B Cover,SD_01_02,Moving Image,Betacam SP,,,
Sept. 27 - OTO Rough Cut 3 - Copy - WLHP,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Rough cut,,
[Unlabelled],SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
[Unlabelled],SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
Rough Music + Visuals,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
EFP 19,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
A8 WLHP,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
15/7,SD_01_02,Moving Image,3/4 inch videotape: U-matic,,,
On To Ottawa - WLHP Owned,SD_01_02,Moving Image,1 inch videotape,,,
OTO Slides #5 - 1st Gen. - NON TC - 435B,SD_01_02,Moving Image,Betacam,Submaster,,
OTO Slides 1-6 - BC Indians - A Friend at the Door,SD_01_02,Moving Image,VHS,,,
On To Ottawa - Approx. 1 hour,SD_01_02,Moving Image,VHS,,,
On To Ottawa - Set Up - 9/2/91 - NON TC - 1st Gen. - 479B,SD_01_02,Moving Image,Betacam SP,Submaster,1991-09-02,
OTO - Audio Voice Over - Final Cuts - 2nd Gen. - T.C. - 541B,SD_01_02,Moving Image,Betacam SP,Dub,1991-11-12,
OTO Slides - #4 - 1st Gen. - NON TC - 434B,SD_01_02,Moving Image,Betacam,Submaster,1991-11-01,
OTO Slides #1 - 1st Gen - 431B,SD_01_02,Moving Image,Betacam,Submaster,1991-11-01,
OTO Slides #3 - 1st Gen. - NON TC - 433B,SD_01_02,Moving Image,Betacam,Submaster,,
OTO Slides #2 - 1st Gen. - NON TC - 432B,SD_01_02,Moving Image,Betacam,Submaster,,
On To Ottawa - C-Roll - WLHP Owned,SD_01_02,Moving Image,1 inch videotape,,,
On To Ottawa - Edit Master - WLHP Owned,SD_01_02,Moving Image,1 inch videotape,,,
Hold the fort - songs for labour on the line,SD_01_02,Sound,Audio cassette,Original,,
PATTERNITY PROJECT - Sara Diamond - BROOKLYN / EAST NEW YORK - Excerpt,SD_02_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Compilation Tape - Patternity - Lower East Side (Some Footage Excerpts),SD_02_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Sync - Patt - 30 mins - Studio 4,SD_02_02,Moving Image,3/4 inch videotape: U-matic,,,
Paternity - Client: Sara Diamond - Reel 1 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Paternity - Client: Sara Diamond - Reel 1 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Paternity - Client: Sara Diamond - Reel 1 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Patternity - 1991 - Sara Diamond - 2hrs 13 min,SD_02_02,Moving Image,VHS,Dub,,
Paternity Reel 2 - Client: Sara Diamond - WLCP,SD_02_02,Moving Image,VHS,Dub,,
Paternity - Client: Sara Diamond - Reel 2 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Paternity - Client: Sara Diamond - Reel 2 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Paternity - Client: Sara Diamond - Reel 3 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Paternity - Client: Sara Diamond - Reel 3 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Paternity - Client: Sara Diamond - Reel 3 - TC Track 2,SD_02_02,Moving Image,VHS,Dub,,
Paternity Reel 3 - Client: Sara Diamond - WLCP,SD_02_02,Moving Image,VHS,Dub,,
Paternity Master - Tape 1B - Time Code Window Dub,SD_02_02,Moving Image,VHS,Dub,,
Patternity: Photo Excerpts - Jan 3 1991 - 1058B,SD_02_02,Moving Image,Betacam SP,,1991-01-03,
